key,0,1
#,Item,Gil
int32,Item,uint32
0,Item#1601,63
1,Item#1602,151
2,Item#1603,204
3,Item#1604,316
4,Item#1605,416
5,Item#1606,1345
6,Item#1607,504
7,Item#1609,648
8,Item#1611,869
9,Item#1613,2273
10,Item#1614,1297
11,Item#1616,1646
12,Item#1621,2862
13,Item#1622,1354
14,Item#1625,1737
15,Item#1627,2284
16,Item#1633,3398
17,Item#1636,3168
18,Item#1637,3622
19,Item#1643,4159
20,Item#1659,6577
21,Item#1675,700
22,Item#1680,89
23,Item#1681,212
24,Item#1682,308
25,Item#1683,446
26,Item#1684,555
27,Item#1685,598
28,Item#1686,808
29,Item#1688,915
30,Item#1694,1745
31,Item#1697,2274
32,Item#1699,3586
33,Item#1701,3186
34,Item#1706,4399
35,Item#1708,4752
36,Item#1711,6140
37,Item#1728,7537
38,Item#1746,1000
39,Item#1749,94
40,Item#1750,223
41,Item#1751,436
42,Item#1752,446
43,Item#1753,773
44,Item#1754,744
45,Item#1756,1204
46,Item#1758,1116
47,Item#1764,2027
48,Item#1766,2271
49,Item#1769,4049
50,Item#1771,4222
51,Item#1776,5097
52,Item#1778,5927
53,Item#1781,7725
54,Item#1796,9504
55,Item#1816,1000
56,Item#1819,109
57,Item#1820,212
58,Item#1821,403
59,Item#1822,424
60,Item#1823,528
61,Item#1824,783
62,Item#1825,938
63,Item#1827,1296
64,Item#1833,2112
65,Item#1836,2977
66,Item#1838,4338
67,Item#1840,4398
68,Item#1845,5097
69,Item#1847,5927
70,Item#1855,7776
71,Item#1867,9866
72,Item#1885,1000
73,Item#1889,89
74,Item#1891,212
75,Item#1892,364
76,Item#1893,424
77,Item#1894,644
78,Item#1895,708
79,Item#1897,1003
80,Item#1899,1514
81,Item#1905,2095
82,Item#1908,3738
83,Item#1910,3459
84,Item#1915,5368
85,Item#1917,5616
86,Item#1925,7776
87,Item#1937,8907
88,Item#1955,1000
89,Item#1958,154
90,Item#1959,240
91,Item#1960,344
92,Item#1961,560
93,Item#1963,904
94,Item#1965,1778
95,Item#1967,2487
96,Item#1969,3539
97,Item#1974,5043
98,Item#1981,5892
99,Item#1995,94
100,Item#1996,257
101,Item#1997,446
102,Item#1998,707
103,Item#2000,882
104,Item#2002,1116
105,Item#2004,1367
106,Item#2010,1830
107,Item#2011,2271
108,Item#2014,2430
109,Item#2015,3586
110,Item#2021,4622
111,Item#2023,5616
112,Item#2026,6437
113,Item#2039,8184
114,Item#2052,1000
115,Item#2055,71
116,Item#2056,154
117,Item#2057,297
118,Item#2058,421
119,Item#2059,564
120,Item#2061,725
121,Item#2063,904
122,Item#2066,1778
123,Item#2068,1505
124,Item#2069,2440
125,Item#2071,3044
126,Item#2076,3684
127,Item#2078,3890
128,Item#2083,4840
129,Item#2088,5737
130,Item#2106,234
131,Item#2107,410
132,Item#2108,582
133,Item#2109,925
134,Item#2111,1170
135,Item#2116,1830
136,Item#2118,2688
137,Item#2121,4602
138,Item#2123,5350
139,Item#2125,6723
140,Item#2130,8252
141,Item#2140,1000
142,Item#2142,92
143,Item#2143,219
144,Item#2144,358
145,Item#2145,439
146,Item#2146,634
147,Item#2147,732
148,Item#2149,1098
149,Item#2151,1566
